x,y
0, 0.03949830717143721
1, 0.04568947373907961
2, 0.058325070463768114
2.999999999999993, 0.06539058141320475
4, 0.07913383170653732
4.999999999999993, 0.09463929195574872
6, 0.10648461913232776
6.999999999999993, 0.1235796499073809
8, 0.13216850325655127
8.999999999999993, 0.14290864019168448
9.999999999999993, 0.15600150237509025
10.999999999999993, 0.17427891616683722
11.999999999999993, 0.18790509060203509
12.999999999999993, 0.2048484112807245
13.999999999999993, 0.21809475331837613
14.999999999999993, 0.2308278263938225
15.999999999999993, 0.24041443992284828
16.99999999999998, 0.2588321976188922
17.999999999999993, 0.27037353899919647
18.99999999999998, 0.2853232358589681
19.999999999999993, 0.29048855125001616
20.999999999999993, 0.31021749691041833
21.999999999999993, 0.3294879614817833
22.999999999999993, 0.3480110286284773
23.999999999999993, 0.3600052139154102
24.999999999999993, 0.37871723915692024
25.999999999999993, 0.37967482617375936
26.999999999999993, 0.38985975527303607
27.999999999999993, 0.4051150717313282
28.999999999999993, 0.41289353141795215
29.999999999999993, 0.4281021861542563
30.999999999999993, 0.43140888844992753
31.999999999999993, 0.43999309916917484
32.99999999999999, 0.45309551915869206
33.99999999999998, 0.45949643692879005
34.99999999999999, 0.4750421339444211
35.99999999999998, 0.4870662469301429
36.99999999999999, 0.49000005355305976
37.99999999999999, 0.49832442107100416
38.99999999999999, 0.5092255302351882
39.99999999999999, 0.5289324898183511
40.99999999999999, 0.5432132627417235
41.99999999999999, 0.5737720389929152
42.99999999999999, 0.5989114334446024
43.99999999999999, 0.6487363280638636
44.99999999999999, 0.7145912825802183
45.99999999999999, 0.762298199518666
46.99999999999999, 0.7871919957184197
47.99999999999999, 0.8134764636780737
48.99999999999998, 0.8405964336604621
49.99999999999999, 0.8619684700206524
50.99999999999998, 0.884395929743157
51.99999999999999, 0.8881235036269113
52.99999999999998, 0.882428262638641
53.99999999999999, 0.8686665285217725
54.99999999999999, 0.8441127887112173
55.99999999999999, 0.7842409447488281
56.99999999999999, 0.7528322851184419
57.99999999999999, 0.7125482011247726
58.99999999999999, 0.6659116398650466
59.99999999999999, 0.6220904755849421
61.00000000000001, 0.5925508040556905
61.99999999999998, 0.5694802849459799
62.99999999999999, 0.5458198215773912
63.99999999999999, 0.5395084017840134
64.99999999999997, 0.5459178134192301
65.99999999999997, 0.5528617823734618
67, 0.5880065224987946
68, 0.6645007644573435
68.99999999999997, 0.7233319630043211
69.99999999999997, 0.7517157088379064
71, 0.760575675149074
72, 0.793891339605822
72.99999999999997, 0.8308054950326091
74, 0.83033318114097
75, 0.825288585213551
76, 0.8317691566503359
77, 0.8306303252771637
78, 0.8307873834433235
79, 0.8353417160658452
80, 0.8269863978404712
81, 0.8273099462819952
82, 0.8344812061119915
83, 0.8386294194952487
83.99999999999997, 0.8375182287035253
85, 0.8309048415433518
86, 0.8320835944148773
87, 0.833208433704684
88, 0.8334616620747838
89, 0.8394298346874042
90, 0.844714841196553
91, 0.8458073781906758
92, 0.8394847258406593
93, 0.8363772484907549
94, 0.8275830504587035
95, 0.8366942905907784
96, 0.8448317111762221
97, 0.8409982070515141
98, 0.836177390440825
98.99999999999997, 0.8334598080899921
100, 0.838271266709047
101, 0.8415620577234595
102, 0.8456163554167202
102.99999999999997, 0.8469943605102681
104, 0.8471658584028932
105, 0.8449013942548124
106, 0.8455946436189666
107, 0.8414605039789835
108, 0.8430709013266504
109, 0.8460681551198002
110, 0.8428728884238234
111, 0.8449194047053825
112, 0.849030589015442
113, 0.847759821135531
113.99999999999997, 0.846592258130258
115, 0.8497347317582594
116, 0.8493501375748848
117, 0.8478001128745194
117.99999999999997, 0.8472485668556964
119, 0.8507210918220107
120, 0.8407563568355804
121, 0.8389660975560186
122, 0.8401324252132968
123, 0.8413733518091255
124, 0.8449794513658021
125, 0.8360506513731655
126, 0.8593251210962658
127, 0.8576418307414286
128, 0.8567352074285995
128.99999999999997, 0.8432915496409277
130, 0.8496332051373023
131, 0.8523356876789944
132, 0.8522688595566758
132.99999999999997, 0.8525330950876244
134, 0.8545791474527005
135, 0.854652300571236
136, 0.8591663549486754
136.99999999999997, 0.8582225872287156
138, 0.8729507738356994
139, 0.8675836705345412
140, 0.8665031123371644
141, 0.8586867724559102
142, 0.8697779504712351
143, 0.8639442980036126
144, 0.8662553293500093
145, 0.8803864014738749
146, 0.8785837201971506
147, 0.8814215670545325
147.99999999999997, 0.8888967685516093
149, 0.8826778468632756
150, 0.8861861348299992
151, 0.8853632422824482
151.99999999999997, 0.8843920244801287
153, 0.8822053008585592
154, 0.8747829826746812
155, 0.8736809708354041
156, 0.8754494723521612
157, 0.8707602346396361
158, 0.8703808358341399
159, 0.8818451454028174
160, 0.8708023619446996
161, 0.8781482602813954
162, 0.8723283281240221
162.99999999999997, 0.8763642359295021
164, 0.8786911473358795
165, 0.8794764202595003
166, 0.8862014607462809
166.99999999999997, 0.8778340712094879
168, 0.8827584426258971
169, 0.885474209521505
170, 0.8831858224179341
170.99999999999997, 0.8811048607566839
172, 0.8873648242456542
173, 0.8875961522209268
174, 0.8909661936257152
175, 0.8883912030732364
176, 0.8947736184499513
177, 0.8888573111758203
178, 0.8920942773563114
179, 0.8937519036804498
179.99999999999997, 0.8876879725170831
180.99999999999997, 0.8875143336000322
181.99999999999997, 0.8941048305918057
183, 0.8852045077791235
184, 0.8902908392248334
185, 0.891122780998237
186, 0.8960878208614139
187.00000000000003, 0.8946891214591339
187.99999999999997, 0.8963805915289639
188.99999999999997, 0.9003592470496455
190, 0.9042880125212198
191, 0.9061796823049606
192, 0.9030853953248347
193, 0.8941663288042623
194, 0.8908901120102475
194.99999999999997, 0.8926569180907148
195.99999999999997, 0.895985444131074
196.99999999999997, 0.9007009331228398
198, 0.8980318713646434
199, 0.8963298072666787
200, 0.8960810961538044
201, 0.89939210542237
202.00000000000003, 0.9037201224818839
203.00000000000003, 0.9071492102397943
204.00000000000003, 0.9119806771306882
205.00000000000003, 0.9163919855970198
206.00000000000003, 0.9112778754917599
206.99999999999997, 0.9091275877298973
208.00000000000003, 0.9137897594560799
209.00000000000003, 0.9014329911512247
210.00000000000003, 0.9075803812802024
211.00000000000003, 0.9114729827899596
212.00000000000003, 0.9154875494834878
213.00000000000003, 0.9116640800284342
214.00000000000003, 0.9162937873737741
215.00000000000003, 0.8990149919588808
216.00000000000003, 0.9140925603769143
217.00000000000003, 0.9094422634681911
218.00000000000003, 0.907756876033741
219.00000000000003, 0.9140878381378047
220.00000000000003, 0.914033702396032
221.00000000000003, 0.9094124240463382
221.99999999999997, 0.9121013839053651
223.00000000000003, 0.9181353702863312
224.00000000000003, 0.9140606467121297
225.00000000000003, 0.9279567773099454
226.00000000000003, 0.9197528614626798
227.00000000000003, 0.9143272104327378
228.00000000000003, 0.9145803111398563
229.00000000000003, 0.9161942641212077
230.00000000000003, 0.9281212764810677
231.00000000000003, 0.9196879562819205
232.00000000000003, 0.9189015984127011
233.00000000000003, 0.924532734349492
234.00000000000003, 0.929982755441007
235.00000000000003, 0.9240302201696464
236.00000000000003, 0.9210273040701421
236.99999999999997, 0.922160422232398
238.00000000000003, 0.9275185045522937
239.00000000000003, 0.9193962206836224
240.00000000000003, 0.9247580848520336
241.00000000000003, 0.9262858239243639
242.00000000000003, 0.9285159547103011
243.00000000000003, 0.9338309067624723
244.00000000000003, 0.9295347975301489
245.00000000000003, 0.9305509651697705
246.00000000000003, 0.9270759052218651
247.00000000000003, 0.9300945890281846
248.00000000000003, 0.940527071472724
249.00000000000003, 0.9296125161683645
250.00000000000003, 0.9317161635340148
251.00000000000003, 0.9340932318646249
251.99999999999997, 0.9338186426341084
253.00000000000003, 0.9371901021944921
254.00000000000003, 0.9357855003679592
255.00000000000003, 0.9364091922414082
256, 0.933826580653572
257, 0.9338023904520654
258, 0.9324745414487516
259, 0.9339858601839819
259.99999999999994, 0.9366378730784891
261, 0.9375865636195232
262, 0.9421466960873793
263, 0.9440105334514041
264, 0.9389167642566489
265, 0.9387806890752787
266, 0.935328829563105
266.99999999999994, 0.9301499978953115
268, 0.934297371214981
269, 0.9306124680605928
270, 0.9317058482806959
271, 0.9345337024101076
272, 0.9388261054470184
273, 0.9440608496199263
274, 0.939581849207269
274.99999999999994, 0.9423168709771209
276, 0.9422243521121678
277, 0.9415641566960957
278, 0.9415186150349155
279, 0.9416708261551948
280, 0.9415309885145321
281, 0.9373967839697347
281.99999999999994, 0.938579974028943
283, 0.935477850581007
284, 0.9396925492615071
285, 0.9389175004101808
286, 0.9393890524604153
287, 0.9505360734401399
288, 0.945565606753223
289, 0.9456914993646458
289.99999999999994, 0.9451568630843161
291, 0.9511074467367912
292, 0.9475099318489044
293, 0.9434636384521323
294, 0.947991727966574
295, 0.9461115029448062
296, 0.946141671539959
296.99999999999994, 0.9484538488060993
298, 0.9507324716234834
299, 0.9513342979446204
